,ds,yhat,yhat_lower,yhat_upper,users
16609,2019-01-22 01:00:00,117.67058210107857,76.76777698028528,158.7259053992431,119.0
16610,2019-01-22 02:00:00,106.28086391929423,66.72554849873136,148.41309054351106,94.0
16611,2019-01-22 03:00:00,101.53863393371725,60.34555625751768,143.16804965322913,78.0
16612,2019-01-22 04:00:00,99.49357920720001,63.658252391815246,143.23653657125155,50.0
16613,2019-01-22 05:00:00,98.32935216412432,61.476615466576916,142.26712744723454,56.0
16614,2019-01-22 06:00:00,100.16395816757303,56.37871888545963,141.67472554109588,58.0
16615,2019-01-22 07:00:00,108.2728831850052,67.96018379883515,148.40310667249227,84.0
16616,2019-01-22 08:00:00,122.91589117616917,77.8898881967244,160.35465775076554,119.0
16617,2019-01-22 09:00:00,140.1580760994281,99.70604023396703,180.15976580780304,159.0
16618,2019-01-22 10:00:00,154.8325237880504,113.03144146330558,195.78198960018742,178.0
16619,2019-01-22 11:00:00,164.53827752987937,121.07217143719126,204.10336993152285,205.0
16620,2019-01-22 12:00:00,170.64650507284315,126.05804509315395,211.8755300243205,250.0
16621,2019-01-22 13:00:00,175.5427183303509,132.5429249867473,218.8364718722514,259.0
16622,2019-01-22 14:00:00,179.3124806592197,138.92439260502465,221.07202937695345,239.0
16623,2019-01-22 15:00:00,179.6148879626142,138.1863356443987,221.65035323721625,276.0
16624,2019-01-22 16:00:00,174.99261584458594,133.7174749379774,213.32518315361838,244.0
16625,2019-01-22 17:00:00,167.96520655077833,125.51300738514247,212.54053359824042,257.0
16626,2019-01-22 18:00:00,164.09551234437708,123.95036345110022,207.34964868457655,221.0
16627,2019-01-22 19:00:00,167.19308677210674,127.25279736386359,207.73261275384058,270.0
16628,2019-01-22 20:00:00,175.01866909343704,131.92057010611882,214.35028325621136,303.0
16629,2019-01-22 21:00:00,179.93897096207957,140.0670217841562,219.84380676615422,304.0
16630,2019-01-22 22:00:00,174.57970030024714,133.39294598548187,216.68593520264469,281.0
16631,2019-01-22 23:00:00,157.75879767440398,112.26742291162527,198.9284896352181,201.0
16632,2019-01-23 00:00:00,135.49532521450317,94.5484958074519,176.783518600323,167.0
16633,2019-01-23 01:00:00,116.27138673778309,76.07268496033137,157.20620139705136,93.0
16634,2019-01-23 02:00:00,104.86392383332486,64.01188162895265,147.2354399581926,76.0
16635,2019-01-23 03:00:00,100.1135395719724,59.52066020377906,141.92741310578765,61.0
16636,2019-01-23 04:00:00,98.06814420735581,60.81274217198704,142.49387620297176,57.0
16637,2019-01-23 05:00:00,96.90972456177369,56.37383028343178,138.64957708642152,55.0
16638,2019-01-23 06:00:00,98.7547498009547,56.10202473342648,138.27206079005285,71.0
16639,2019-01-23 07:00:00,106.87731436439799,65.8413119763164,149.67346828965563,83.0
16640,2019-01-23 08:00:00,121.53594753665047,82.47519907426661,164.09354880525694,106.0
16641,2019-01-23 09:00:00,138.7946744472477,97.27016656028604,180.10191666671352,153.0
16642,2019-01-23 10:00:00,153.48568368831013,105.44889112700596,193.0033612608783,199.0
16643,2019-01-23 11:00:00,163.2072953782433,120.44856212290739,202.90729158240885,212.0
16644,2019-01-23 12:00:00,169.33012742443734,128.3749085260874,211.17799528694798,348.0
16645,2019-01-23 13:00:00,174.23931134485358,131.18780504728852,217.73248265792603,250.0
16646,2019-01-23 14:00:00,178.0201926431014,138.6472194798133,217.4236906189454,234.0
16647,2019-01-23 15:00:00,178.3318021659849,135.0242128010923,214.87542030843704,213.0
16648,2019-01-23 16:00:00,173.716890876969,131.98546788382995,215.42619287887203,223.0
16649,2019-01-23 17:00:00,166.69520202545596,123.36028841898546,207.45326096425538,227.0
16650,2019-01-23 18:00:00,162.82989764621743,120.3670747446614,203.33524368508577,227.0
16651,2019-01-23 19:00:00,165.93093115085082,124.0901087830345,205.8104732865332,279.0
16652,2019-01-23 20:00:00,173.75951162221446,131.52008088098682,213.6356461732112,254.0
16653,2019-01-23 21:00:00,178.68286925347076,138.31577886615966,222.7493209212533,301.0
16654,2019-01-23 22:00:00,173.3272572424703,131.02196635109416,216.70815475194834,280.0
16655,2019-01-23 23:00:00,156.51116583588376,115.08133010655011,199.1352220074657,219.0
16656,2019-01-24 00:00:00,134.25418893866953,93.33864971702951,173.856313730534,149.0
16657,2019-01-24 01:00:00,115.03892234719353,75.05255798024622,156.79661771005686,90.0
16658,2019-01-24 02:00:00,103.64273873031075,66.78776559776162,147.69012123622315,86.0
16659,2019-01-24 03:00:00,98.90659138120606,57.21547309667537,141.22850142241208,71.0
16660,2019-01-24 04:00:00,96.87864147763153,55.66725227307349,140.00453794583726,55.0
16661,2019-01-24 05:00:00,95.74101084387925,55.43971770070627,136.91271808110596,46.0
16662,2019-01-24 06:00:00,97.61017323518271,56.85456815147249,139.07399298273143,76.0
16663,2019-01-24 07:00:00,105.76008517483166,62.29799303013574,146.03306808401442,78.0
16664,2019-01-24 08:00:00,120.44898606440526,82.97074418958232,164.22291572159185,102.0
16665,2019-01-24 09:00:00,137.74045254245556,96.71312055388188,176.5553358380395,124.0
16666,2019-01-24 10:00:00,152.4660624583076,112.4210333100493,196.7584645631732,198.0
16667,2019-01-24 11:00:00,162.2233623749666,122.50622341829127,203.64397715537228,202.0
16668,2019-01-24 12:00:00,168.38203642863363,131.8000439032776,205.63447458798075,211.0
16669,2019-01-24 13:00:00,173.3261279360693,132.23664235405957,216.25818746021648,236.0
16670,2019-01-24 14:00:00,177.13974870345268,133.78472333437844,217.37742628931514,237.0
16671,2019-01-24 15:00:00,177.4805623939292,138.2261618711316,220.95506405820547,236.0
