,Product_name,1,2,3,4,5
25,Bachelorette Bash Party Cups (8 count),Bride Tribe Tanks - Bride (Grey Tank) ,Pink Foil Photo Booth Backdrop,"Drink Up, Bitches! Shot Cups (10 count)",Cheers Beaches Party Cups (8 count),Bride Pin - Silver
26,Bachelorette Dare Cards,"Bride To Be ""Mad Libs""",Navy & Pink Bride's Drinking Team Shot Cups (8 count),"Drink Up, Bitches! Paper Shot Cups (10 count)",Gettin' Hitched Party Pins (10 Pack),Hangover Emergency Kit
27,Bachelorette Headband Party Pack,"26"" Mylar Pineapple Balloon",Matron of Honor Headband,Day Drinker Confetti Tumbler,Pink Party Tissue Paper Tassel Garland,Let's Flamingle Napkins
28,Bachelorette Headband Party Pack (8 Pack),Bach & Boujee Party Cups (8 count),Bachelorette Party Pins (10 or 15 pack) - 10 Pack,Gettin' Hitched Sash,Bride Headband,Bachelorette Bash Banner
29,Bachelorette Mini Crowns - Gold (Bride),"Drink Up, Bitches! Paper Shot Cups (10 count)",Drink Please! Bar Top Bell,White Bachelorette Sash,Bride Squad Napkins,Pink & Gold Brushed Heart Balloon Set
30,Bachelorette Party Pins (10 or 15 pack) - 10 Pack,Same Penis Forever Koozies (10 count) - Single Koozie (Pink),Bach & Boujee Party Cups (8 count),Bachelorette Headband Party Pack (8 Pack),Same Penis Forever Koozies (10 count) - Single Koozie (White),Bride Headband
31,Bachelorette Photo Booth Props,Miss To Mrs Headband - White,Bride Tribe Tanks - Bride (Grey Tank) ,Blush Gold Dots Snack Plates,"Drink Up, Bitches! Shot Cups (10 count)",Gold Chevron Party Straws
32,Bachelorette Pins Party Pack - 10 Pack,I Said Yes! Shot Cups (8 count),Hot Pink Bachelorette Bash Napkins,Flamingo String Lights,Bride Headband - Gold,Bride Headband - White
33,Bachelorette Pins Party Pack - 15 Pack,Gettin' Hitched Banner,Mermaid Squad Tissue Paper Tassel Garland,Champagne Campaign Koozies - Pink (Champagne Campaign),Heart Sunnies - Black,Champagne Campaign Koozies - White (Pop The Champagne)
34,Bachelorette Scratch Off Cards,Wishes for the Couple Cards,Inflatable Hunk Ring Toss,You Had Me at Tacos Napkins,Drink Please! Bar Top Bell,Chillin' With My Beaches Party Cups (8 count)
35,Bachelorette Tattoo Party Pack,Acrylic Confetti Wine Tumbler - Pineapples,Future Mrs. | Cheers Bitches Koozies - Cheers Bitches (Pink Koozie),Blush Ombre Dots Snack Plates,Light Pink Bachelorette Bash Napkins,Bride & Bride Tribe Sunnies - Bride
36,Best Day Ever Gold Tattoo,Let's Get Smashed Shot Cups (8 count),Bride To Be Booty Veil,Final Fiesta Banner,Inflatable Hunk Ring Toss,Heart Sunnies - White
37,Black & Gold Brushed Heart Balloon Set,Black & Gold Brushed Heart Balloon Set,"Grey, Pink & Mint Drunk in Love Tanks - Drunk in Love (Grey Tank) ",Pink Party Balloons,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Bachelorette Bash Acrylic Wine Tumbler
38,Black & White Bride Tribe Tanks - Bride (White Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Bride Tribe Frost Flex Cups (8 count),"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) ",Future Mrs. | Cheers Bitches Koozies - Future Mrs. (White Koozie),"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Pink Tank) "
39,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride (White Tank) ,Bride Tribe Frost Flex Cups (8 count),Future Mrs. | Cheers Bitches Koozies - Future Mrs. (White Koozie),Bride Tribe Pins Party Pack (Set of 12),Inflatable Selfie Frame
