Day Index,Revenue
2/26/18,$716.39
2/27/18,"$1,037.73"
2/28/18,$270.06
3/1/18,$967.57
3/2/18,$182.23
3/3/18,$488.41
3/4/18,$204.82
3/5/18,$375.40
3/6/18,$155.94
3/7/18,$66.91
3/8/18,$801.91
3/9/18,$703.96
3/10/18,$293.52
3/11/18,$225.46
3/12/18,$415.90
3/13/18,$346.10
3/14/18,$918.25
3/15/18,$884.03
3/16/18,$182.46
3/17/18,$268.59
3/18/18,$446.73
3/19/18,$873.53
3/20/18,$377.39
3/21/18,$446.35
3/22/18,$186.37
3/23/18,$567.45
3/24/18,$484.39
3/25/18,$405.60
3/26/18,$240.05
3/27/18,$251.22
3/28/18,$698.31
3/29/18,$121.99
3/30/18,$746.78
3/31/18,$339.59
4/1/18,$269.57
4/2/18,$590.10
4/3/18,$489.43
4/4/18,$630.06
4/5/18,"$1,128.49"
4/6/18,$436.26
4/7/18,$509.29
4/8/18,$628.95
4/9/18,"$1,078.76"
4/10/18,$657.29
4/11/18,$405.30
4/12/18,"$1,025.21"
4/13/18,"$1,067.71"
4/14/18,$155.37
4/15/18,$662.08
4/16/18,$440.59
4/17/18,$680.21
4/18/18,$445.82
4/19/18,$577.43
4/20/18,$297.07
4/21/18,$152.38
4/22/18,$623.95
4/23/18,$834.91
4/24/18,$217.08
4/25/18,$517.01
4/26/18,$814.95
4/27/18,$806.20
4/28/18,$466.33
4/29/18,$734.07
4/30/18,"$1,323.17"
5/1/18,$727.44
5/2/18,$845.82
5/3/18,$672.04
5/4/18,$168.61
5/5/18,$227.33
5/6/18,$340.41
5/7/18,$572.56
5/8/18,$243.43
5/9/18,$793.03
5/10/18,$914.93
5/11/18,$455.31
5/12/18,$255.39
5/13/18,$343.26
5/14/18,$330.12
5/15/18,"$1,195.15"
5/16/18,"$1,347.35"
5/17/18,$319.05
5/18/18,$388.30
5/19/18,$493.00
5/20/18,$734.31
5/21/18,$494.05
5/22/18,$729.05
5/23/18,$429.95
5/24/18,$770.81
5/25/18,$644.25
5/26/18,$666.87
5/27/18,$378.33
5/28/18,$987.20
5/29/18,$910.72
5/30/18,$827.76
5/31/18,$605.72
6/1/18,$350.04
6/2/18,$159.42
6/3/18,$406.40
6/4/18,$686.48
