,ds,yhat,yhat_lower,yhat_upper,users
2928,2019-01-01 01:00:00,133.94913173536932,41.69492543986197,230.09984243441528,36
2929,2019-01-01 02:00:00,123.38689854856574,23.162622384750865,221.02331496858628,37
2930,2019-01-01 03:00:00,118.93245663358742,29.804274542446585,213.991028132525,35
2931,2019-01-01 04:00:00,117.09373448996843,25.515921209298387,216.6507741940378,26
2932,2019-01-01 05:00:00,116.21133003108898,20.730046190169443,212.08763090401507,21
2933,2019-01-01 06:00:00,118.1548169725766,22.285368829502843,217.08102640262248,26
2934,2019-01-01 07:00:00,125.82710232123017,33.75022015282369,218.9280990301889,25
2935,2019-01-01 08:00:00,139.3559793819198,47.55451602815075,233.5220552535758,38
2936,2019-01-01 09:00:00,155.03414441002107,56.106902841601105,254.0053566892732,54
2937,2019-01-01 10:00:00,168.0992374696667,78.57434769393045,262.9648293328748,93
2938,2019-01-01 11:00:00,176.47159702548834,87.6605827334125,268.60967232494573,99
2939,2019-01-01 12:00:00,181.66383594915712,89.96357574678314,272.8285285050326,131
2940,2019-01-01 13:00:00,186.10585761422925,89.15983059337368,278.3379931514798,140
2941,2019-01-01 14:00:00,189.9068728094672,97.69482487942821,281.5351522743286,161
2942,2019-01-01 15:00:00,190.6561577575453,94.97952017542264,286.6311624808627,195
2943,2019-01-01 16:00:00,186.59859948880586,89.38133340645794,284.2397665657794,181
2944,2019-01-01 17:00:00,179.76272803544947,84.48788448014837,273.6957822427268,179
2945,2019-01-01 18:00:00,175.32972345100853,80.76754504867968,268.7351959786855,178
2946,2019-01-01 19:00:00,177.20620235959382,81.42224589057774,272.8070995917411,209
2947,2019-01-01 20:00:00,183.8108230346232,91.21071864759702,282.95548695933047,179
2948,2019-01-01 21:00:00,188.3606895042417,88.63230043341312,284.8953337288465,219
2949,2019-01-01 22:00:00,183.93686435998478,91.81646434029234,280.29550772971515,223
2950,2019-01-01 23:00:00,169.0748769274782,70.640520219009,263.1045017187248,162
2951,2019-01-02 00:00:00,148.968812867463,54.94031904138509,247.58412728781042,108
2952,2019-01-02 01:00:00,131.31541910968375,39.84373621851272,224.85797314663967,93
2953,2019-01-02 02:00:00,120.64120487778811,27.43775090667027,218.89592226266427,63
2954,2019-01-02 03:00:00,116.09626784596989,20.952996187223732,211.63694493557583,52
2955,2019-01-02 04:00:00,114.18692172005237,20.617174230788788,210.2824113295043,46
2956,2019-01-02 05:00:00,113.2521242916029,19.347716476637114,214.14425447580248,68
2957,2019-01-02 06:00:00,115.15980580706598,24.110657304150443,210.82882417011965,60
2958,2019-01-02 07:00:00,122.81124704284105,28.076104702494323,218.02840783630995,58
2959,2019-01-02 08:00:00,136.33265126791235,42.050577105163086,230.86261549860956,77
2960,2019-01-02 09:00:00,152.01517800775494,59.17428782597915,250.08696987016603,130
2961,2019-01-02 10:00:00,165.09499898637944,70.69731984409383,261.16207120101336,150
2962,2019-01-02 11:00:00,173.49106563199314,77.52960251946246,266.32891053297067,229
2963,2019-01-02 12:00:00,178.71469571357932,85.01621958322507,273.23467857313955,341
2964,2019-01-02 13:00:00,183.19459769988754,86.44219790060527,279.19551703024086,260
2965,2019-01-02 14:00:00,187.0388935404231,93.68068137999559,281.8718902128807,250
2966,2019-01-02 15:00:00,187.83588014498463,89.58921543680012,284.4772272597898,313
2967,2019-01-02 16:00:00,183.8295758445175,85.3273886433923,280.58690457307193,351
2968,2019-01-02 17:00:00,177.04775137157318,79.60033329294055,277.5750168589284,264
2969,2019-01-02 18:00:00,172.6709334605662,75.75947600031638,269.3940959671297,249
2970,2019-01-02 19:00:00,174.60518591478717,73.60157160816317,268.8655325996429,302
2971,2019-01-02 20:00:00,181.26870729710853,86.66446473174291,275.63036571446116,328
2972,2019-01-02 21:00:00,185.87822593846585,90.04783583157453,288.0429305359503,350
2973,2019-01-02 22:00:00,181.5145021526066,87.71765673310409,275.01606073374666,315
2974,2019-01-02 23:00:00,166.7128245591022,74.84549660502593,259.136578830372,245
2975,2019-01-03 00:00:00,146.6670868367169,51.14225181717721,244.60642231830425,175
2976,2019-01-03 01:00:00,129.07387906448838,35.290862501692004,224.19366937662247,118
2977,2019-01-03 02:00:00,118.45957471514882,25.256303177381362,216.87056111168113,87
2978,2019-01-03 03:00:00,113.97414259818697,19.716530835665235,212.1475041547424,58
2979,2019-01-03 04:00:00,112.12376034185368,12.876346927421238,213.41383730207778,75
2980,2019-01-03 05:00:00,111.24722874686995,16.30672011910668,210.02268567942085,63
2981,2019-01-03 06:00:00,113.2122871268555,20.433043058707323,210.07355841018537,53
2982,2019-01-03 07:00:00,120.91997928757783,21.607008913488016,218.8162264473482,88
2983,2019-01-03 08:00:00,134.49621458024973,36.09116894449992,227.83082098784323,105
2984,2019-01-03 09:00:00,150.2317921696157,55.78977175564106,248.10796453726655,188
2985,2019-01-03 10:00:00,163.3624491066591,69.89203771423507,259.0909304241709,220
2986,2019-01-03 11:00:00,171.80662176889604,75.47867537352522,270.28911889374217,253
2987,2019-01-03 12:00:00,177.07502839343778,79.55114601697962,280.25307592877556,282
2988,2019-01-03 13:00:00,181.5956914205354,80.34475904448573,278.15084512463756,301
2989,2019-01-03 14:00:00,185.4759604361499,89.38567560687869,282.06653629975614,293
2990,2019-01-03 15:00:00,186.30327605038565,88.28075742521722,281.30011517454386,300
2991,2019-01-03 16:00:00,182.32072101553476,91.64999581539045,279.0748374784884,301
2992,2019-01-03 17:00:00,175.555058112547,79.67558968990524,277.788373859102,293
2993,2019-01-03 18:00:00,171.18574285407396,73.1135911731406,267.3484786906871,253
