Product SKU,Transaction ID,Product,Region,Product Category (Enhanced Ecommerce),Product Revenue,Quantity
TAN700-CC-M,#6549,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Texas,Tanks,$100.00,5
TAN700-CC-M,#7772,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Florida,Tanks,$100.00,5
TAN700-CC-M,#8035,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Illinois,Tanks,$100.00,5
TAN700-CC-S,#6549,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,Texas,Tanks,$100.00,5
TAN800-FSTR-M,#7111,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Alaska,Tanks,$100.00,5
TAN800-FSTR-M,#7201,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Louisiana,Tanks,$100.00,5
TAN800-FSTR-M,#7471,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,New York,Tanks,$100.00,5
TAN800-FSTR-M,#7696,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,District of Columbia,Tanks,$100.00,5
TAN800-FSTR-M,#7703,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Maryland,Tanks,$100.00,5
TAN800-FSTR-S,#6537,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,Texas,Tanks,$100.00,5
TAN800-FSTR-S,#7201,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,Louisiana,Tanks,$100.00,5
TAN800-FSTR-S,#8498,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,Georgia,Tanks,$100.00,5
TEE1000-BB-M,#8861,Bride's Babes Tees - Bride's Babes (Peach) / M,Tennessee,Tees & Tanks,$100.00,4
TEE1000-BB-M,#8934,Bride's Babes Tees - Bride's Babes (Peach) / M,New Jersey,Tees & Tanks,$100.00,4
TUM100,#6695,Blue & Purple Confetti Tumbler,Connecticut,Party Cups & Tumblers,$100.00,10
TUM1100,#2722,Bachelorette Bash Acrylic Wine Tumbler,California,Party Cups & Tumblers,$100.00,10
TUM200,#7437,Blush Ombre Confetti Tumbler,Pennsylvania,Party Cups & Tumblers,$100.00,10
TUM400,#7530,Pineapple Tumbler,California,Party Cups & Tumblers,$100.00,10
TUM400,#7998,Pineapple Tumbler,New York,Party Cups & Tumblers,$100.00,10
TUM700,#7415,Pink Ombre Confetti Tumbler,Arkansas,Party Cups & Tumblers,$100.00,10
TUM900,#7636,Unicorn Water Tumbler,New York,Party Cups & Tumblers,$100.00,10
KOZ100-BEAC,#3428,Aloha Bride | Aloha Beaches Koozies - Aloha Beaches (Black Koozie),Delaware,Koozie,$99.00,20
SUN100,#2440,Daisy Sunnies,New York,Sunglasses,$99.00,11
HAI1700,#8833,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),Mississippi,Headbands & Hats,$96.00,4
HAI1700,#8950,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),Oregon,Headbands & Hats,$96.00,4
SUN200-BRI-WHITE,#8641,Bride Tribe Sunnies - Bride,New York,Sunglasses,$96.00,16
SUN800-PINKGREY,#7561,Retro Heart Sunnies - Light Pink (Classic Lenses),Oklahoma,Sunglasses,$96.00,12
SUN800-PINKGREY,#8262,Retro Heart Sunnies - Light Pink (Classic Lenses),Minnesota,Sunglasses,$96.00,12
TUM200,#8586,Blush Ombre Confetti Tumbler,Pennsylvania,Party Cups & Tumblers,$96.00,8
TUM700,#7645,Pink Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$96.00,8
TAN500-JD-BLACK-S,#7221,Drunk in Love Tanks - Just Drunk (Black Tank) / S,Colorado,Tanks,$94.75,5
TAN200-BEAC-XL,#6531,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / XL,Alberta,Tanks,$91.80,4
SUN600,#7105,Pineapple Sunnies,Michigan,Sunglasses,$91.00,13
BAN2900,#7219,Cactus Party Tissue Paper Tassel Garland,California,Banners & Garlands,$90.00,3
SUN500-LTPINK,#7033,Heart Sunnies - Light Pink,Florida,Sunglasses,$90.00,15
SUN500-LTPINK,#8254,Heart Sunnies - Light Pink,Minnesota,Sunglasses,$90.00,15
TUM200,#6844,Blush Ombre Confetti Tumbler,South Carolina,Party Cups & Tumblers,$90.00,9
TUM200,#7212,Blush Ombre Confetti Tumbler,Pennsylvania,Party Cups & Tumblers,$90.00,9
TUM200,#7236,Blush Ombre Confetti Tumbler,New Jersey,Party Cups & Tumblers,$90.00,9
TUM200,#7347,Blush Ombre Confetti Tumbler,California,Party Cups & Tumblers,$90.00,9
TUM200,#7438,Blush Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$90.00,9
TUM400,#7571,Pineapple Tumbler,New York,Party Cups & Tumblers,$90.00,9
TUM700,#6613,Pink Ombre Confetti Tumbler,California,Party Cups & Tumblers,$90.00,9
TUM700,#6694,Pink Ombre Confetti Tumbler,Texas,Party Cups & Tumblers,$90.00,9
TUM700,#6873,Pink Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$90.00,9
TUM700,#7424,Pink Ombre Confetti Tumbler,New Jersey,Party Cups & Tumblers,$90.00,9
HAI400-PEACH,#7515,I Do Crew Flower Crowns - Peach,District of Columbia,Hair Accessories,$88.00,22
SUN800-PINKGREY,#7262,Retro Heart Sunnies - Light Pink (Classic Lenses),California,Sunglasses,$88.00,11
SUN800-PINKGREY,#8020,Retro Heart Sunnies - Light Pink (Classic Lenses),Pennsylvania,Sunglasses,$88.00,11
TAN1000-DRI-M,#8854,Sun & Sand Tanks - Sun Sand & A Drink In My Hand (Peach) / M,Pennsylvania,Tees & Tanks,$88.00,4
TAN1000-MER-M,#8969,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / M,Texas,Tanks,$88.00,4
TAN600-JD-MINT-S,#8426,Drunk in Love Tanks - Just Drunk (Mint) / S,Florida,Tanks,$84.75,5
BAN2300,#6740,Final Fiesta Tissue Paper Tassel Garland,New York,Banners & Garlands,$84.00,3
PIN100,#2865,Bride Tribe Pins Party Pack (Set of 12),Illinois,Pin,$84.00,2
PIN100,#3573,Bride Tribe Pins Party Pack (Set of 12),Colorado,Pin,$84.00,2
PIN100,#3698,Bride Tribe Pins Party Pack (Set of 12),North Carolina,Pin,$84.00,2
SUN500-LTPINK,#8063,Heart Sunnies - Light Pink,District of Columbia,Sunglasses,$84.00,14
TUM200,#8657,Blush Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$84.00,7
TUM600,#8207,Mint Ombre Confetti Tumbler,California,Party Cups & Tumblers,$84.00,7
TUM600,#8212,Mint Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$84.00,7
TUM600,#8215,Mint Ombre Confetti Tumbler,California,Party Cups & Tumblers,$84.00,7
1.20E+11,#5576,Acrylic Confetti Wine Tumbler - Pineapples,Massachusetts,Party Cups & Tumblers,$80.00,8
30173775949,#1455,Pink Pineapple Mason Jar Sipper,Alabama,Party Cups & Tumblers,$80.00,5
30195400973,#2121,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) / L",Illinois,Tanks,$80.00,4
KOZ700-FSTR-ORANGE,#7852,Final Fiesta Koozies - Orange (Fiesta Siesta Tequila Repeat),Nebraska,Koozie,$80.00,20
PLA900,#8995,Tropic Like It's Hot Snack Plates,Georgia,Plates,$80.00,10
SUN700-PINKPINK,#7215,Retro Heart Sunnies - Light Pink (Pink Lenses),New York,Sunglasses,$80.00,10
SUN700-WHITE,#7021,Retro Heart Sunnies - White,California,Sunglasses,$80.00,10
SUN800-PINKGREY,#7436,Retro Heart Sunnies - Light Pink (Classic Lenses),Maryland,Sunglasses,$80.00,10
SUN800-PINKGREY,#7481,Retro Heart Sunnies - Light Pink (Classic Lenses),Ohio,Sunglasses,$80.00,10
SUN800-PINKGREY,#8202,Retro Heart Sunnies - Light Pink (Classic Lenses),California,Sunglasses,$80.00,10
SUN800-PINKGREY,#8289,Retro Heart Sunnies - Light Pink (Classic Lenses),Quebec,Sunglasses,$80.00,10
SUN800-PINKGREY,#8370,Retro Heart Sunnies - Light Pink (Classic Lenses),Louisiana,Sunglasses,$80.00,10
TAN1000-MER-L,#8199,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / L,Washington,Tanks,$80.00,4
TAN1000-MER-M,#8199,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / M,Washington,Tanks,$80.00,4
TAN1100-LL-S,#8021,Lake Life Tanks - Lake Life (Teal) / S,Pennsylvania,Tanks,$80.00,4
TAN300-BT-MINT-M,#6968,Bride Tribe Tanks - Bride Tribe (Mint) / M,California,Tanks,$80.00,4
TAN300-BT-PINK-L,#7329,Bride Tribe Tanks - Bride Tribe (Pink) / L,Washington,Tanks,$80.00,4
TAN300-BT-PINK-S,#3575,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Pink Tank) / M",Pennsylvania,Tanks,$80.00,4
TAN400-BT-BLACK-L,#6506,Bride Tribe Tanks - Bride Tribe (Black Tank) / L,Otago,Tanks,$80.00,4
TAN400-BT-BLACK-L,#6651,Bride Tribe Tanks - Bride Tribe (Black Tank) / L,Georgia,Tanks,$80.00,4
TAN400-BT-BLACK-M,#3524,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Yukon Territory,Tanks,$80.00,4
TAN400-BT-BLACK-M,#6506,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Otago,Tanks,$80.00,4
TAN400-BT-BLACK-M,#7064,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Virginia,Tanks,$80.00,4
TAN400-BT-BLACK-M,#7098,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,New Mexico,Tanks,$80.00,4
TAN400-BT-BLACK-S,#6684,Bride Tribe Tanks - Bride Tribe (Black Tank) / S,Ohio,Tanks,$80.00,4
TAN500-JD-BLACK-L,#5115,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) / L,Tennessee,Tanks,$80.00,4
TAN700-CC-M,#7134,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Massachusetts,Tanks,$80.00,4
TAN700-CC-M,#7258,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Virginia,Tanks,$80.00,4
TAN700-CC-M,#7878,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,California,Tanks,$80.00,4
TAN700-CC-S,#7520,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,California,Tanks,$80.00,4
TAN700-CC-S,#7772,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,Florida,Tanks,$80.00,4
TAN700-CC-S,#7936,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,North Carolina,Tanks,$80.00,4
TAN700-CC-S,#8224,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,New York,Tanks,$80.00,4
TAN700-CC-S,#8622,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,Pennsylvania,Tanks,$80.00,4
TAN800-FSTR-L,#6784,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,New Jersey,Tanks,$80.00,4
TAN800-FSTR-L,#8003,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / L,California,Tanks,$80.00,4
TAN800-FSTR-M,#6537,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Texas,Tanks,$80.00,4
TAN800-FSTR-M,#6762,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Indiana,Tanks,$80.00,4
TAN800-FSTR-M,#6776,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Florida,Tanks,$80.00,4
TAN800-FSTR-M,#6996,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,North Carolina,Tanks,$80.00,4
TAN800-FSTR-M,#7018,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Michigan,Tanks,$80.00,4
TAN800-FSTR-M,#8003,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / M,California,Tanks,$80.00,4
TAN800-FSTR-M,#8498,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / M,Georgia,Tanks,$80.00,4
TAN800-FSTR-S,#6522,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,Florida,Tanks,$80.00,4
TAN800-FSTR-S,#6805,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,Minnesota,Tanks,$80.00,4
TAN800-FSTR-S,#8003,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,California,Tanks,$80.00,4
TAN800-FSTR-XL,#7146,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / XL,Tennessee,Tanks,$80.00,4
TAN900-LTP-S,#7628,Mermaid Squad Tanks - Mermaid Squad (Light Purple) / S,(not set),Tanks,$80.00,4
TUM1200,1.18E+11,Acrylic Confetti Wine Tumbler - Pink Ombre,Tennessee,Party Cups & Tumblers,$80.00,8
TUM1300,#2765,Acrylic Confetti Wine Tumbler - Blush Ombre,New York,Party Cups & Tumblers,$80.00,8
TUM200,#6613,Blush Ombre Confetti Tumbler,California,Party Cups & Tumblers,$80.00,8
TUM200,#7193,Blush Ombre Confetti Tumbler,Illinois,Party Cups & Tumblers,$80.00,8
TUM700,#7391,Pink Ombre Confetti Tumbler,Massachusetts,Party Cups & Tumblers,$80.00,8
TAN100-CHRS-L,#7531,Cheers Bitches Tanks - Cheers Bitches (Pink Tank) / L,California,Tanks,$79.80,4
KOZ200-CHRS,#5817,Future Mrs. | Cheers Bitches Koozies - Cheers Bitches (Pink Koozie),Georgia,Koozie,$79.20,16
29305063309,#1375,Heart Sunnies - Light Pink,Illinois,Sunglasses,$78.00,13
30178733645,#1713,Bride & Bride Tribe Sunnies - Bride Tribe (Pink Frames),Maine,Sunglasses,$78.00,13
BAN200,1.18E+11,Pink Party Tissue Paper Tassel Garland,Tennessee,Banners & Garlands,$78.00,3
BAN300,1.18E+11,Pink Champagne Tissue Paper Tassel Garland,Tennessee,Banners & Garlands,$78.00,3
SUN200-BT-HTPINK,#7735,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Florida,Sunglasses,$78.00,13
SUN500-HTPINK,#7234,Heart Sunnies - Hot Pink,Florida,Sunglasses,$78.00,13
SUN500-WHITE,#6914,Heart Sunnies - White,Indiana,Sunglasses,$78.00,13
KOZ500-BT-BLACK,#7387,Bride Tribe Koozies - Black (Bride Tribe),Rhode Island,Koozie,$76.00,19
TAN500-JD-BLACK-S,#7368,Drunk in Love Tanks - Just Drunk (Black Tank) / S,Kentucky,Tanks,$75.80,4
TEE1000-BB-M,#9043,Bride's Babes Tees - Bride's Babes (Peach) / M,Ontario,Tees & Tanks,$75.00,3
TEE1000-BB-S,#9022,Bride's Babes Tees - Bride's Babes (Peach) / S,Victoria,Tees & Tanks,$75.00,3
